state,value
Alabama,218.40909197493 
Alaska,329.637755860633 
Arizona,218.40909197493 
Arkansas,329.637755860633 
California,231.48111894929 
Colorado,223.340004681648 
Connecticut,243.795033362694 
Delaware,253.48541459725 
District of Columbia,175.640457924959 
Florida,209.157240272764 
Georgia,190.289056587454 
Idaho,232.815844793396 
Illinois,269.045082496877 
Indiana,225.185846288832 
Iowa,224.20845938027 
Kansas,215.962857668787 
Kentucky,201.326600284495 
Louisiana,193.271735483791 
Maine,206.89250822047 
Maryland,326.45822488617 
Massachusetts,168.744304236805 
Michigan,197.84322876595 
Minnesota,159.898238574337 
Mississippi,192.356815137785 
Missouri,183.821863689245 
Montana,264.530522739474 
Nebraska,202.799533175942 
Nevada,213.514515848641 
New Hampshire,197.559163173297 
New Jersey,191.049385637572 
New Mexico,167.28420931658 
New York,193.963112791037 
North Carolina,223.729236688017 
North Dakota,197.872329920796 
Ohio,205.331544297932 
Oklahoma,193.205511517795 
Oregon,215.723169680561 
Pennsylvania,211.551526082131 
Rhode Island,172.298024864648 
South Carolina,195.557335904949 
South Dakota,188.963771495191 
Tennessee,218.027493842502 
Texas,224.092439922821 
Utah,214.693732281682 
Vermont,240.726341975577 
Virginia,170.073956960913 
Washington,365.644125829232 
West Virginia,194.685782626979 
Wisconsin,175.58879960421
Wyoming, 187.168858179068
