state, value
Alabama,259.670628986589 
Alaska,399.382229484182 
Arizona,272.064786950013 
Arkansas,247.226020961658 
California,296.496434535241 
Colorado,268.486578745867 
Connecticut,233.552535335369 
Delaware,260.788470420288 
District of Columbia,230.191304134281 
Florida,230.984407366576 
Georgia,271.975274994028 
Idaho,268.659230294778 
Illinois,256.250995382954 
Indiana,268.66928464169 
Iowa,228.672287864794 
Kansas,248.169887132112 
Kentucky,243.979441505391 
Louisiana,270.139784891452 
Maine,216.40408181027 
Maryland,233.128285101106 
Massachusetts,211.058394719382 
Michigan,240.676063615402 
Minnesota,211.025771244462 
Mississippi,250.039506902829 
Missouri,255.053536249141 
Montana,245.567725766861 
Nebraska,253.333589556517 
Nevada,234.271460359527 
New Hampshire,208.554395509665 
New Jersey,238.19199383053 
New Mexico,267.88512067384 
New York,247.915923699252 
North Carolina,243.604569931238 
North Dakota,251.687851222963 
Ohio,250.706956485017 
Oklahoma,258.152972825767 
Oregon,211.952089384774 
Pennsylvania,238.356706763454 
Rhode Island,229.265567002124 
South Carolina,257.931341334624 
South Dakota,277.306364791498 
Tennessee,248.01460403351 
Texas,274.15211349033 
Utah,287.372833431666 
Vermont,223.366476340487 
Virginia,244.1931800721 
Washington,215.935640159986 
West Virginia,222.97184975477 
Wisconsin,216.641619293549 
Wyoming,263.671149490374 
